,SKU,0
2966,JNE3759-KR-XXL,150.0
2965,JNE3759-KR-XL,150.0
2690,JNE3686-TU-XXL,150.0
2863,JNE3729-KR-XL,149.75
2865,JNE3729-KR-XXL,149.75
4116,SET270-KR-PP-L,149.25
4119,SET270-KR-PP-XL,149.25
2464,JNE3637-KR-XXL,149.0
1071,J0224-SKD-L,149.0
1072,J0224-SKD-M,149.0
1077,J0224-SKD-XXXL,149.0
1073,J0224-SKD-S,149.0
1076,J0224-SKD-XXL,149.0
4118,SET270-KR-PP-S,149.0
1028,J0208-DR-S,149.0
1074,J0224-SKD-XL,149.0
1075,J0224-SKD-XS,149.0
4120,SET270-KR-PP-XXL,149.0
4117,SET270-KR-PP-M,148.75
2141,JNE3547-KR-XL,148.0
3609,SET073-KR-SHA-XL,148.0
3608,SET073-KR-SHA-S,148.0
2626,JNE3672-TU-XXXL,148.0
2143,JNE3547-KR-XXL,147.5
2022,JNE3489-KR-XXL,147.25
2151,JNE3548-KR-XXXL,147.0
2153,JNE3549-KR-M,147.0
2666,JNE3680-TU-L,147.0
4112,SET269-KR-NP-S,146.75
2139,JNE3547-KR-M,146.55000000000018
4582,SET409-KR-NP-XXL,146.0
4203,SET290-KR-DPT-L,145.75
4206,SET290-KR-DPT-XL,145.75
3565,SET038-KR-PP-XXXL,145.10000000000036
3244,MEN5005-KR-S,145.0
4184,SET286-KR-NP-M,144.5
1542,JNE2132-KR-398-XXL,144.5
3819,SET200-KR-NP-XXL,144.0
3955,SET236-KR-PP-XXL,144.0
4134,SET273-KR-NP-XS,143.5
2723,JNE3697-KR-L,143.0999999999999
2640,JNE3674-TU-XXXL,143.0
2672,JNE3683-TU-M,142.5
2674,JNE3683-TU-XL,142.5
889,J0178-TP-L,141.98000000000002
2733,JNE3701-KR-L,141.5
2736,JNE3701-KR-XL,141.0
2162,JNE3553-KR-XL,141.0
2734,JNE3701-KR-M,141.0
2406,JNE3622-KR-S,141.0
3601,SET062-KR-SP-S,140.75
810,J0157-DR-XXL,140.5
3447,NW030-TP-PJ-S,140.5
2199,JNE3560-KR-XS,140.0
732,J0138-KR-XXXL,139.80999999999995
731,J0138-KR-XXL,139.8099999999995
1654,JNE3256-KR-S,139.75
1653,JNE3256-KR-M,139.75
4099,SET267-KR-NP-S,139.5
